MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21329440,1125000.0,85718,-110.883547,32.329763,1.33,8654.0,1986,4,5.0,5023.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone, Wood",179.0
21500337,1100000.0,85750,-110.866891,32.321968,1.17,6565.93,1994,4,4.0,3870.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",58.0
21206450,1180000.0,85750,-110.868487,32.316324,1.3,9590.16,1993,4,3.0,5029.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Ceramic Tile",40.0
21224755,1175500.0,85718,-110.94065,32.347873,1.23,11674.0,2004,4,5.0,4143.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Ceramic Tile",159.0
21703603,1125478.0,85755,-110.973498,32.460529,1.71,3171.39,2017,3,4.0,3436.0,3.0,"Dishwasher, Garbage Disposal",1.0,"Carpet, Natural Stone",0.0
21306908,1100000.0,85718,-110.923316,32.341935,0.8,10430.0,1991,4,4.0,4197.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Concrete, Mexican Tile",242.0
21418351,1180000.0,85750,-110.859923,32.318022,0.99,8334.92,1999,5,4.0,5001.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone, Wood",40.0
21527725,1026000.0,85755,-110.979521,32.425905,1.06,8303.0,2005,4,4.0,4036.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",84.0
21606460,1075000.0,85718,-110.878835,32.323796,1.35,6816.36,1977,5,4.0,3840.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,Natural Stone,215.0
21610977,1169000.0,85749,-110.718328,32.267463,3.0,8765.0,2003,5,4.0,4742.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Concrete, Mexican Tile",165.0
21811117,1100000.0,85743,-111.102084,32.305673,3.43,9916.83,2008,4,4.0,4185.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Warming Drawer, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: Built In, Oven: Double Oven",2.0,Concrete,0.0
21828266,1150000.0,85658,-111.077999,32.465221,1.44,3001.08,2018,4,5.0,3334.0,3.5,"Compactor, Desk, Dishwasher, Garbage Disposal, Gas Range, Indoor Grill, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Fascination Quartzi, Microwave: WALL, Oven: WALL",3.0,Natural Stone,131.0
21714707,1185000.0,85718,-110.910626,32.333163,0.92,3658.95,2017,5,6.0,4113.0,3.0,"Desk, Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Oven: Double",2.0,"Carpet, Ceramic Tile, Wood",64.0
21724815,1160000.0,85658,-111.045841,32.482187,2.1,3204.36,2017,4,5.0,4037.0,3.0,"Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Quartz, Oven: Wolf 6-burner",2.0,"Carpet, Natural Stone",148.0
21912917,1110000.0,85718,-110.942159,32.341405,1.31,10049.43,1999,3,4.0,3725.0,3.0,"Compactor, Desk, Dishwasher, Double Sink, Garbage Disposal, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Water Purifier",4.0,"Carpet, Natural Stone",175.0
21212194,1140000.0,85718,-110.917248,32.299075,1.88,8196.0,2004,4,5.0,5092.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Other",108.0
21127086,1150000.0,85718,-110.913485,32.289147,1.31,11809.0,1995,4,5.0,4952.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Ceramic Tile",193.0
21908057,1120000.0,85718,-110.920459,32.288939,1.89,10779.68,2002,4,6.0,4022.0,3.5,"Dishwasher, Double Sink, Garbage Disposal, Island, Pantry: Walk-In, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: Granite, Microwave: Dacor Stainless, Oven: Electric Double Oven",3.0,Mexican Tile,208.0
21514455,1100000.0,85718,-110.917571,32.301257,1.26,7202.38,2007,4,5.0,4850.0,3.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave",4.0,"Ceramic Tile, Indoor/Outdoor, Wood, Other",125.0
21528577,1075000.0,85718,-110.928069,32.318568,1.23,7010.07,2003,4,4.0,4022.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,Concrete,4.0
